Unnamed: 0,date,instrument,ROE,Free_Cash_Flow,EPS,Net_Profit_Qoq,PE_TTM,Market_Cap,Holder_Avg_Pct,return_5,rank_return_5,rank_avg_amount_5,amount,open,close
534600,2022/8/15,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.486954,223071000000.0,0.005636565,1.006823,0.30821636,0.9348185,509168105,906.2083,903.1481
534601,2022/8/16,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.493937,223165000000.0,0.005636565,1.0042517,0.33285242,0.9258191,502950171,900.4704,903.5306
534602,2022/8/17,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.982748,229779000000.0,0.005636565,1.0357751,0.6527205,0.9318088,770079086,904.67816,930.30756
534603,2022/8/18,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.75929,226756000000.0,0.005636565,1.0526316,0.77888775,0.9172329,488746983,929.16,918.06665
534604,2022/8/19,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.975765,229685000000.0,0.005636565,1.0353491,0.8112003,0.91397405,529030966,915.7715,929.925
534605,2022/8/22,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.038612,230535000000.0,0.005636565,1.0304054,0.74722105,0.9158263,596450337,921.8919,933.36774
534606,2022/8/23,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.940851,229212000000.0,0.005636565,1.0472745,0.8125129,0.918741,545836957,935.70703,945.8439
534607,2022/8/24,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.968782,229590000000.0,0.005636565,1.048557,0.90392923,0.9204195,642810219,946.23376,947.4034
534608,2022/8/25,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.080511,231102000000.0,0.005636565,1.0250819,0.8659539,0.90759754,316146474,951.3021,953.6414
534609,2022/8/26,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,16.989733,229874000000.0,0.005636565,1.0332289,0.88172483,0.9070388,358423435,957.93005,948.573
534610,2022/8/29,600690.SHA,4.2919,-8898897920.0,0.38,12.2786,17.157324,232141000000.0,0.005636565,1.0301154,0.83692306,0.9073201,380969576,941.5552,957.93005
534611,2022/8/30,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.943354,239983000000.0,0.00665943,1.0609858,0.9421776,0.93460435,1190530667,965.72766,990.2899
534612,2022/8/31,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.256872,244424000000.0,0.00665943,1.0663644,0.9612625,0.9460955,1027254522,988.7304,1008.6142
534613,2022/9/1,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.483673,247636000000.0,0.00665943,1.0786008,0.95550543,0.96065575,1387805778,1008.6142,1021.87006
534614,2022/9/2,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.096779,242156000000.0,0.00665943,1.0478332,0.90249896,0.9674447,773684374,1015.632,999.25714
534615,2022/9/5,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.063425,241684000000.0,0.00665943,1.0513769,0.8968059,0.9727794,717458675,992.2393,997.30774
534616,2022/9/6,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.1368,242723000000.0,0.00665943,1.0455841,0.89457524,0.9737973,549055857,1004.71545,1001.5964
534617,2022/9/7,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.210178,243762000000.0,0.00665943,1.015748,0.71484137,0.96748465,660281840,1001.5964,1005.8851
534618,2022/9/8,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.263544,244518000000.0,0.00665943,1.0003866,0.38049477,0.9634171,554847069,1013.2927,1009.0041
534619,2022/9/9,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.677122,250376000000.0,0.00665943,1.0110645,0.4210096,0.9573295,895610648,1016.41174,1033.1765
534620,2022/9/13,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.66378,250187000000.0,0.00665943,1.0331643,0.7495915,0.9538493,540403163,1024.2094,1032.3967
534621,2022/9/14,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.67045,250282000000.0,0.00665943,1.0355747,0.8198897,0.9522157,565132816,1022.25995,1032.7866
534622,2022/9/15,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.930605,253966000000.0,0.00665943,1.0463215,0.92439723,0.95729464,877033703,1032.7866,1047.9918
534623,2022/9/16,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.383614,246219000000.0,0.00665943,1.0100775,0.8905005,0.96080035,872369666,1033.1765,1016.0219
534624,2022/9/19,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.450321,247164000000.0,0.00665943,1.0108192,0.9066966,0.9626759,535549078,1011.3433,1019.92065
534625,2022/9/20,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.256872,244424000000.0,0.00665943,0.9762264,0.78874385,0.9596413,629139273,1019.92065,1008.6142
534626,2022/9/21,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.80327,237999000000.0,0.00665943,0.951284,0.56336594,0.96842533,1059702151,1001.98627,982.1025
534627,2022/9/22,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.383022,232047000000.0,0.00665943,0.9271424,0.22620746,0.97188264,843236609,970.4062,957.5402
534628,2022/9/23,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.342999,231480000000.0,0.00665943,0.9114584,0.12650235,0.97127724,615750221,963.77826,955.2009
534629,2022/9/26,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.643177,235731000000.0,0.00665943,0.9574059,0.50275004,0.97130644,815639075,939.99567,972.7454
534630,2022/9/27,600690.SHA,9.5736,4738968576.0,0.85,26.016,17.076767,241873000000.0,0.00665943,0.9785933,0.2995523,0.9715158,615234043,962.9985,998.0875
534631,2022/9/28,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.876648,239038000000.0,0.00665943,0.9779668,0.73779494,0.9721545,646696566,988.3406,986.3912
534632,2022/9/29,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.637957,235658000000.0,0.00665943,0.9900754,0.8302155,0.9699126,718878221,998.86725,972.3555
534633,2022/9/30,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.524548,234051000000.0,0.00665943,1.0085505,0.89282084,0.9697093,666209056,974.6948,965.72766
534634,2022/10/10,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.544933,234340000000.0,0.00665943,1.0126531,0.89128226,0.9707614,672530076,983.27216,967.2872
534635,2022/10/11,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.56494,234623000000.0,0.00665943,0.9955912,0.7510154,0.96814126,463268120,972.7454,968.4568
534636,2022/10/12,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.664968,236040000000.0,0.00665943,0.97617185,0.5574269,0.96410465,404037756,968.8467,974.30493
534637,2022/10/13,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.131475,228484000000.0,0.00665943,0.95612645,0.14219067,0.9588486,480796350,967.2872,943.1147
534638,2022/10/14,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.431566,232734000000.0,0.00665943,0.9879712,0.14143871,0.95240986,663317166,945.8439,960.65924
534639,2022/10/17,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.291525,230751000000.0,0.00665943,0.9862737,0.07355623,0.94510835,547403608,965.72766,952.4718
534640,2022/10/18,600690.SHA,9.5736,4738968576.0,0.85,26.016,16.51826,233962000000.0,0.00665943,0.99838775,0.05813247,0.94128364,635732829,955.5908,965.72766
534641,2022/10/19,600690.SHA,9.5736,4738968576.0,0.85,26.016,15.678008,222061000000.0,0.00665943,0.9464573,0.019226877,0.9480073,838179533,962.9985,916.603
534642,2022/10/20,600690.SHA,9.5736,4738968576.0,0.85,26.016,15.591315,220833000000.0,0.00665943,0.93557423,0.030952863,0.9514759,551958953,906.4662,911.5346
534643,2022/10/21,600690.SHA,9.5736,4738968576.0,0.85,26.016,15.391255,217999000000.0,0.00665943,0.9541133,0.060642812,0.95068717,497911577,916.21313,899.83826
534644,2022/10/24,600690.SHA,9.5736,4738968576.0,0.85,26.016,14.77774,209310000000.0,0.00665943,0.89935064,0.03880356,0.95493126,826279508,893.2103,863.9695
534645,2022/10/25,600690.SHA,9.5736,4738968576.0,0.85,26.016,14.72439,208554000000.0,0.00665943,0.90380675,0.06611403,0.9549404,588537952,878.0051,860.85046
534646,2022/10/26,600690.SHA,9.5736,4738968576.0,0.85,26.016,14.530999,205815000000.0,0.00665943,0.87969315,0.025874266,0.9557665,704828669,859.68085,849.544
534647,2022/10/27,600690.SHA,9.5736,4738968576.0,0.85,26.016,14.470982,204965000000.0,0.00665943,0.9230115,0.08117932,0.95153475,649959391,849.9339,846.0351
534648,2022/10/28,600690.SHA,9.5736,4738968576.0,0.85,26.016,14.204235,201187000000.0,0.00665943,0.91103506,0.14452967,0.9507469,567256901,849.9339,830.44
534649,2022/10/31,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,13.276358,196464000000.0,0.007226791,0.90121317,0.10763328,0.95577544,921096256,839.01733,810.9461
534650,2022/11/1,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,13.692916,202628000000.0,0.007226791,0.9679603,0.20214055,0.95620584,968374110,818.74365,836.28815
534651,2022/11/2,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,13.954645,206501000000.0,0.007226791,0.9900362,0.24727494,0.9612747,1018792330,830.0501,852.27313
534652,2022/11/3,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,13.673765,202345000000.0,0.007226791,0.98301977,0.25247025,0.9578629,499258261,847.5946,835.1185
534653,2022/11/4,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,14.184457,209902000000.0,0.007226791,1.0239632,0.4822652,0.96071714,992395939,834.72864,866.3088
534654,2022/11/7,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,14.331281,212075000000.0,0.007226791,1.0539906,0.33575025,0.95934796,640719576,860.85046,875.27594
534655,2022/11/8,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,14.356814,212453000000.0,0.007226791,1.08125,0.68069255,0.95251507,451179036,875.66583,876.83545
534656,2022/11/9,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,14.312129,211791000000.0,0.007226791,1.0452214,0.62084925,0.9460656,397639636,876.44556,874.1063
534657,2022/11/10,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,14.273828,211225000000.0,0.007226791,1.0228728,0.5627514,0.9334272,360371374,863.5796,871.767
534658,2022/11/11,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.116468,223694000000.0,0.007226791,1.1055089,0.9255982,0.94671226,1261451674,909.9751,923.23096
534659,2022/11/14,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.346279,227095000000.0,0.007226791,1.0819082,0.9054516,0.95556,1420127481,948.573,937.26654
534660,2022/11/15,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.4165,228134000000.0,0.007226791,1.0757238,0.8861854,0.9531564,498527351,935.70703,941.5552
534661,2022/11/16,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.307978,226528000000.0,0.007226791,1.0662516,0.8751257,0.95438105,529894129,940.77545,934.92725
534662,2022/11/17,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.282443,226150000000.0,0.007226791,1.0677966,0.85728645,0.9517685,406639895,929.8589,933.36774
534663,2022/11/18,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.333512,226906000000.0,0.007226791,1.0742397,0.88824123,0.9527828,481757344,934.92725,936.4868
534664,2022/11/21,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.065399,222938000000.0,0.007226791,0.9966216,0.37123343,0.9455714,587627922,936.0969,920.11194
534665,2022/11/22,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.263292,225867000000.0,0.007226791,0.9945923,0.43043566,0.9162819,415421237,926.73987,932.1981
534666,2022/11/23,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.320745,226717000000.0,0.007226791,0.99378884,0.6820554,0.9203771,443430268,932.588,935.70703
534667,2022/11/24,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.205839,225017000000.0,0.007226791,0.9933278,0.63111466,0.9134095,257589205,938.0463,928.6892
534668,2022/11/25,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.463424,228828000000.0,0.007226791,1.0108604,0.8119864,0.92070484,453462026,925.9601,943.5046
534669,2022/11/28,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.041694,222587000000.0,0.007226791,0.98001665,0.5703704,0.92894316,620199665,927.9095,917.77264
534670,2022/11/29,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.719017,232611000000.0,0.007226791,1.0423728,0.85294116,0.9484,1229472019,929.8589,959.09973
534671,2022/11/30,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.674289,231949000000.0,0.007226791,1.0259305,0.7535507,0.94778955,514097208,954.81104,956.37054
534672,2022/12/1,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.648729,231570000000.0,0.007226791,1.0204166,0.6267253,0.9508,726268734,968.8467,954.81104
534673,2022/12/2,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.348407,227126000000.0,0.007226791,1.0083964,0.44128826,0.9572086,728956555,948.9629,936.4868
534674,2022/12/5,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.840425,234407000000.0,0.007226791,1.0243802,0.40536216,0.9593919,826713856,947.4034,966.5074
534675,2022/12/6,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.840425,234407000000.0,0.007226791,1.0531011,0.72654533,0.9518,457227439,956.76044,966.5074
534676,2022/12/7,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.680678,232043000000.0,0.007226791,0.9975609,0.3228,0.93822473,487838095,966.1175,956.76044
534677,2022/12/8,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.719017,232611000000.0,0.007226791,1.0028538,0.4490204,0.9382494,477220830,957.5402,959.09973
534678,2022/12/9,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,16.262154,240648000000.0,0.007226791,1.0391997,0.81687325,0.94404477,1032209249,966.8973,992.2393
534679,2022/12/12,600690.SHA,13.6032,-4797508608.0,1.25,-16.1442,15.910713,235447000000.0,0.007226791,1.0366361,0.84102255,0.9438898,690692150,974.6948,970.796
